hex,last_seen,alt_first,alt_last,baro_rate_med,gs_avg,lat_last,lon_last,track_last,flight,category,rssi_last,nac_p_last,dist_km,bearing,hdg_diff,phase,target_time,state
0000ca,2026-02-17 21:19:31.456446,26425.0,18275.0,-2976.0,370.3,40.465256,29.283569,305.9,TCIHA,A2,-15.5,9.0,48.23410010721153,2.559849335927879,56.6598493359279,ARRIVAL,2026-02-17 21:25:40.106026648,"[48.23, 18275.0, 370.3, 56.7, -2976.0, 2, -15.5]"
0100de,2026-02-18 00:02:59.482887,31700.0,16450.0,-1664.0,272.9,40.941788,29.215027,282.9,MSR542,A3,-14.4,9.0,9.255828087818228,121.22356835712958,161.6764316428704,ARRIVAL,2026-02-18 00:12:53.389925462,"[9.26, 16450.0, 272.9, 161.7, -1664.0, 3, -14.4]"
010160,2026-02-17 17:30:21.640755,21600.0,13000.0,-1152.0,373.3,41.052836,29.267079,331.2,MSR735,A3,-14.8,9.0,17.511006743346623,168.33603126817275,162.86396873182724,ARRIVAL,2026-02-17 17:41:39.612088332,"[17.51, 13000.0, 373.3, 162.9, -1152.0, 3, -14.8]"
0101be,2026-02-18 04:16:06.839474,25375.0,13250.0,-1216.0,385.5,41.018555,29.315857,333.8,MSR746,A3,-14.7,0.0,13.350096103151595,182.40201719774305,151.39798280225696,ARRIVAL,2026-02-18 04:27:01.604368734,"[13.35, 13250.0, 385.5, 151.4, -1216.0, 3, -14.7]"
01808f,2026-02-18 04:26:15.688381,26700.0,14225.0,-1440.0,350.3,41.070526,29.375069,336.8,LWA100,A0,-15.9,,19.900779518530886,196.1522787345149,140.6477212654851,ARRIVAL,2026-02-18 04:36:08.843714332,"[19.9, 14225.0, 350.3, 140.6, -1440.0, 0, -15.9]"
040232,2026-02-17 21:14:56.372347,17300.0,11675.0,-704.0,304.1,41.079045,29.396855,332.6,ETH722,A3,-15.4,10.0,21.370910148098996,200.1656548024088,132.43434519759123,ARRIVAL,2026-02-17 21:31:32.106756092,"[21.37, 11675.0, 304.1, 132.4, -704.0, 3, -15.4]"
458664,2026-02-18 04:34:24.374540,36025.0,26800.0,0.0,479.5,41.2383,29.501662,344.0,CAT766,A3,-18.5,9.0,41.074517780330595,203.19289370657725,140.80710629342275,ARRIVAL,2026-02-18 05:28:00.762540000,"[41.07, 26800.0, 479.5, 140.8, 0.0, 3, -18.5]"
471f36,2026-02-18 09:03:11.588090,7425.0,6550.0,-448.0,244.4,41.013872,29.104281,214.7,WZZ9909,A3,-14.2,8.0,21.45725537207404,126.61369078521716,88.08630921478283,ARRIVAL,2026-02-18 09:16:17.634090000,"[21.46, 6550.0, 244.4, 88.1, -448.0, 3, -14.2]"
49d3fa,2026-02-17 21:47:05.754554,29475.0,13650.0,-1792.0,355.6,41.099533,29.46106,321.2,KNE299,A3,-13.7,9.0,25.72183878476595,209.75019801087421,111.44980198912577,ARRIVAL,2026-02-17 21:54:43.179804000,"[25.72, 13650.0, 355.6, 111.4, -1792.0, 3, -13.7]"
4b850c,2026-02-17 18:52:26.035334,19425.0,5475.0,-1088.0,250.3,41.06857,29.167141,305.4,TCAHL,A2,-11.0,10.0,22.34718864020692,147.70414006399972,157.69585993600026,ARRIVAL,2026-02-17 18:57:28.225481056,"[22.35, 5475.0, 250.3, 157.7, -1088.0, 2, -11.0]"
