hex,last_seen,alt_first,alt_last,baro_rate_med,gs_avg,lat_last,lon_last,track_last,flight,category,rssi_last,nac_p_last,dist_km,bearing,hdg_diff,phase,target_time,state
06a147,2026-02-17 20:36:01.289752,39000.0,41000.0,320.0,533.8,40.628047,30.730383,108.6,QTR38A,A5,-17.1,10.0,123.41397250539055,284.57200525690985,175.97200525690985,DEPARTURE,2026-02-17 19:13:41.792752000,"[123.41, 41000.0, 533.8, 176.0, 320.0, 5, -17.1]"
06a3b9,2026-02-17 20:53:54.143569,20300.0,35200.0,640.0,506.6,40.453289,30.605725,98.5,QTR31W,A5,-15.8,9.0,120.02552431232799,294.7862104801769,163.71378951982308,DEPARTURE,2026-02-17 19:58:34.272569000,"[120.03, 35200.0, 506.6, 163.7, 640.0, 5, -15.8]"
151e55,2026-02-17 20:04:10.788443,7925.0,7925.0,2240.0,293.8,,,17.6,,,-23.0,,,,180.0,DEPARTURE,2026-02-17 20:00:18.532657284,"[50.0, 7925.0, 293.8, 180.0, 2240.0, 0, -23.0]"
151feb,2026-02-17 17:05:15.242008,7575.0,7725.0,1280.0,243.8,,,19.4,AFL2131,,-12.8,9.0,,,180.0,DEPARTURE,2026-02-17 16:58:53.559633000,"[50.0, 7725.0, 243.8, 180.0, 1280.0, 0, -12.8]"
15200c,2026-02-17 19:15:36.793050,6850.0,7175.0,2048.0,315.3,41.215908,28.943169,27.4,,,-14.8,9.0,46.76318235393749,138.86162834562845,111.46162834562844,DEPARTURE,2026-02-17 19:11:47.047971872,"[46.76, 7175.0, 315.3, 111.5, 2048.0, 0, -14.8]"
424330,2026-02-17 18:08:10.513555,1175.0,24125.0,1600.0,334.9,40.661378,30.354101,96.2,AHY8106,A3,-14.9,10.0,91.8485102356161,287.03041113019634,169.16958886980365,DEPARTURE,2026-02-17 17:52:46.402055000,"[91.85, 24125.0, 334.9, 169.2, 1600.0, 3, -14.9]"
4246b4,2026-02-17 23:08:15.259544,9150.0,9675.0,2816.0,326.7,41.218048,28.940918,17.8,AHY078,A3,-15.6,11.0,47.06626134695775,138.87810402848783,121.07810402848783,DEPARTURE,2026-02-17 23:04:29.592078092,"[47.07, 9675.0, 326.7, 121.1, 2816.0, 3, -15.6]"
440d92,2026-02-17 23:48:31.836643,1350.0,4850.0,1792.0,225.0,40.849263,29.172134,243.9,FDX4797,A3,-8.6,10.0,12.763671521671249,64.49931492842921,179.4006850715708,DEPARTURE,2026-02-17 23:45:30.370250142,"[12.76, 4850.0, 225.0, 179.4, 1792.0, 3, -8.6]"
48ada4,2026-02-17 19:07:33.207576,7675.0,7675.0,2496.0,313.4,,,8.4,,,-20.6,,,,180.0,DEPARTURE,2026-02-17 19:04:08.756383692,"[50.0, 7675.0, 313.4, 180.0, 2496.0, 0, -20.6]"
4a08e9,2026-02-18 01:24:37.859347,9450.0,10650.0,3968.0,319.3,41.240112,28.921387,2.5,ROT266Y,A3,-14.7,9.0,49.990049006611265,139.30469990038227,136.80469990038227,DEPARTURE,2026-02-18 01:21:37.766040548,"[49.99, 10650.0, 319.3, 136.8, 3968.0, 3, -14.7]"
4a5df7,2026-02-18 02:35:53.436032,32000.0,36050.0,0.0,484.3,41.245609,29.498915,344.2,HYS236,A3,-17.7,9.0,41.73449515666249,202.46183440436303,141.73816559563696,DEPARTURE,2026-02-18 01:23:28.155032000,"[41.73, 36050.0, 484.3, 141.7, 0.0, 3, -17.7]"
4b801f,2026-02-17 22:16:47.988521,8200.0,23000.0,1024.0,426.7,40.746988,30.093238,97.5,HVK003,A2,-17.0,10.0,68.09259843993219,284.59045564588405,172.90954435411595,DEPARTURE,2026-02-17 21:54:01.331271000,"[68.09, 23000.0, 426.7, 172.9, 1024.0, 2, -17.0]"
4b8461,2026-02-18 09:00:37.370091,21850.0,27000.0,256.0,407.5,40.651474,30.476746,96.3,TCACA,A2,-16.5,10.0,102.08110195038356,285.9966339679706,170.30336603202943,DEPARTURE,2026-02-18 08:06:17.459091000,"[102.08, 27000.0, 407.5, 170.3, 256.0, 2, -16.5]"
4b8e03,2026-02-18 06:02:51.970073,2700.0,4050.0,1024.0,258.8,40.95488,29.78186,322.4,PGT859,A0,-15.7,8.0,40.19966686632167,261.19898197079885,61.20101802920112,DEPARTURE,2026-02-18 05:58:35.220385500,"[40.2, 4050.0, 258.8, 61.2, 1024.0, 0, -15.7]"
