hex,last_seen,alt_first,alt_last,baro_rate_med,gs_avg,lat_last,lon_last,track_last,flight,category,rssi_last,nac_p_last,dist_km,bearing,hdg_diff,phase,target_time,state
SYNARR0000,2026-06-01 06:58:48.827782105,23447.687415715376,12353.446711135162,-1921.2499472336424,293.41594910218896,40.88120902844853,29.32697924541973,144.5981882433755,SYN0000,A5,-10.101769307951265,9.0,28.169199611635843,235.96538137920047,180.0,ARRIVAL,2026-06-01 07:02:37.827782105,SYNTHETIC
SYNARR0001,2026-06-01 07:01:23.470615587,27282.64662211267,19450.570559213364,-2146.7364648465937,321.1632097815806,40.95657554123078,29.25889332058913,96.51063773539838,SYN0001,A3,-19.259423166309265,10.0,19.383563437407055,33.84763278077893,175.969858099919,ARRIVAL,2026-06-01 07:05:55.470615587,SYNTHETIC
SYNARR0002,2026-06-01 07:02:31.835629426,20628.855396542484,9837.655789950268,-1648.2691110180606,346.0093723070546,40.894424885569315,29.278006421941598,218.26778334937762,SYN0002,A5,-18.674579190485865,9.0,74.28305231583822,341.9464967697108,100.61060222253548,ARRIVAL,2026-06-01 07:06:41.835629426,SYNTHETIC
SYNARR0003,2026-06-01 07:02:56.835629426,16092.568732617072,4348.878676282039,-2102.374644846366,307.27067695796774,40.96922854111417,29.12524686828155,337.9699275145338,SYN0003,A5,-11.727454044092635,8.0,20.96098040292983,269.46520808151433,75.84001844224377,ARRIVAL,2026-06-01 07:06:51.835629426,SYNTHETIC
SYNARR0004,2026-06-01 07:05:09.097030783,26268.88966628793,20443.747980047578,-2176.8396502352243,307.8458512746927,41.00299571475289,29.48750092854464,124.07071914418238,SYN0004,A3,-14.197597832570569,10.0,16.682445777591273,315.45620388928774,159.44539416916197,ARRIVAL,2026-06-01 07:08:30.097030783,SYNTHETIC
SYNARR0005,2026-06-01 07:07:46.330581809,20674.047311610982,24197.31181042801,-1613.1282994179362,349.42518791257095,40.819823763275814,29.224261674032434,200.52064147732207,SYN0005,A4,-12.255827954306676,10.0,38.68019646900214,49.12939945602393,64.966936788282,ARRIVAL,2026-06-01 07:09:29.330581809,SYNTHETIC
SYNARR0006,2026-06-01 07:08:16.163242906,26458.36977830951,12378.922938202673,-2041.195548077523,296.44304123844404,40.800320239506824,29.175745396669143,106.66786696325462,SYN0006,A5,-13.69087992227345,10.0,35.037088305900106,115.25794880143297,108.07818245098487,ARRIVAL,2026-06-01 07:12:20.163242906,SYNTHETIC
SYNARR0007,2026-06-01 07:11:25.276379925,23533.508452729882,6252.647837519259,-1653.5373666129888,256.2427838175803,40.863683141652224,29.214418920736158,61.1279905581747,SYN0007,A5,-11.17824929671052,10.0,1.9041690477934514,132.60389911428388,114.26110254990387,ARRIVAL,2026-06-01 07:13:33.276379925,SYNTHETIC
SYNARR0008,2026-06-01 07:10:50.276379925,21475.44987918662,12758.064095216225,-1636.0775862887265,275.1316160498485,41.06835344931564,29.485749277956593,70.26679073471604,SYN0008,A3,-13.615324722352595,8.0,52.45356509127477,193.3821533976547,180.0,ARRIVAL,2026-06-01 07:13:43.276379925,SYNTHETIC
SYNARR0009,2026-06-01 07:13:02.720896721,23395.10357618518,12855.108200637324,-2483.657400654945,338.03462266402454,40.99388722896857,29.137714421395206,20.860324033726776,SYN0009,A3,-14.778749070968491,10.0,28.116108492983333,106.87265478266914,102.26513485201612,ARRIVAL,2026-06-01 07:14:56.720896721,SYNTHETIC
SYNARR0010,2026-06-01 07:13:42.792026382,29804.0502405052,13240.304635910972,-2088.744674319247,300.17959747199734,40.85158810558111,29.446921216200472,341.7456682833327,SYN0010,A3,-12.872503062387002,8.0,7.781378095685589,21.827067188185843,0.0,ARRIVAL,2026-06-01 07:15:36.792026382,SYNTHETIC
SYNARR0011,2026-06-01 07:14:34.792026382,30307.922116215013,9546.447832312608,-937.3338360501226,320.4125986121003,41.06707918854708,29.38313755776058,145.03665906274665,SYN0011,A2,-15.526072482078906,10.0,53.77568228707748,132.79621706548946,145.2222323831234,ARRIVAL,2026-06-01 07:15:46.792026382,SYNTHETIC
SYNARR0012,2026-06-01 07:11:16.961534091,22277.524540531114,16318.24456990591,-2497.247707640572,340.2047545321314,40.9409867820862,29.432007671663612,300.2835211207589,SYN0012,A3,-16.539361770952652,8.0,42.51351143192308,91.63775326582157,85.04890734480368,ARRIVAL,2026-06-01 07:16:05.961534091,SYNTHETIC
SYNARR0013,2026-06-01 07:19:00.284305614,22640.762373268302,16098.029501144345,-3069.9926693823186,277.50951222614344,40.942827527003594,29.49035901614716,245.2786101682888,SYN0013,A5,-15.323475475497876,9.0,4.709160161041717,138.93166492675735,122.13155122188734,ARRIVAL,2026-06-01 07:20:09.284305614,SYNTHETIC
SYNARR0014,2026-06-01 07:19:44.489213787,26304.96062986554,8022.377520722774,-2917.107091945507,345.37488981778836,41.0806625831528,29.436861862206747,69.09161810799074,SYN0014,A3,-18.302858949014393,10.0,65.54365680515448,70.90543534320945,115.66476495789382,ARRIVAL,2026-06-01 07:20:37.489213787,SYNTHETIC
