hex,last_seen,alt_first,alt_last,baro_rate_med,gs_avg,lat_last,lon_last,track_last,flight,category,rssi_last,nac_p_last,dist_km,bearing,hdg_diff,phase,target_time,state
SYNDEP0000,2026-06-01 06:57:59.832266996,13990.955715783391,7150.510013340482,2083.268322991644,271.5206813751355,41.01205175215381,29.250242388851483,14.025164189804347,SYN0000,A5,-16.365321802699803,8.0,8.496040495334231,340.01310827618903,114.84790237811609,DEPARTURE,2026-06-01 07:00:34.832266996,SYNTHETIC
SYNDEP0001,2026-06-01 06:58:18.238860449,16155.496296978541,8909.30565485099,1528.054207346451,210.86309148506865,41.09870094018762,29.450009327509584,98.25833223896404,SYN0001,A3,-18.502657917332293,10.0,8.12027205201723,74.78306473304939,134.9918386068495,DEPARTURE,2026-06-01 07:00:50.238860449,SYNTHETIC
SYNDEP0002,2026-06-01 06:58:00.676983490,14129.19247111192,8374.09183295404,1822.4400867200545,275.6036295290051,40.88851802709419,29.165371715254736,358.1292328531098,SYN0002,A5,-14.031626654495536,8.0,10.0846016442326,245.84207614151222,86.69634153019358,DEPARTURE,2026-06-01 07:01:51.676983490,SYNTHETIC
SYNDEP0003,2026-06-01 06:59:04.676983490,14420.479910451655,7234.507474935636,840.8891435582116,294.80165385213087,41.03671598388215,29.248512195003453,330.6226361005079,SYN0003,A5,-13.973355894534935,9.0,16.362843310344612,46.18491277575962,106.20960365225724,DEPARTURE,2026-06-01 07:02:01.676983490,SYNTHETIC
SYNDEP0004,2026-06-01 07:06:41.002099311,12625.211934693536,3391.183057867266,2087.2327290661187,372.52316169218767,40.966667540263984,29.12091280432853,77.42729093628031,SYN0004,A3,-16.596993563334717,10.0,23.171944603870664,75.45472139763953,71.02035082291718,DEPARTURE,2026-06-01 07:10:46.002099311,SYNTHETIC
SYNDEP0005,2026-06-01 07:07:42.432447816,19797.324775499666,3568.3761096169055,1814.6067005327322,284.2999532502608,40.983528106334546,29.39699571642225,111.60087548901578,SYN0005,A5,-11.401499431344659,10.0,14.683889857968655,162.34187359801342,56.169088210964226,DEPARTURE,2026-06-01 07:12:20.432447816,SYNTHETIC
SYNDEP0006,2026-06-01 07:16:44.994808879,19197.055524160143,6248.339182723343,1484.435986085513,163.29114788948476,41.0957559601327,29.160261102973166,166.93364961667854,SYN0006,A3,-11.545421012845717,10.0,16.426513788994136,206.31461088294583,131.05702722188875,DEPARTURE,2026-06-01 07:18:59.994808879,SYNTHETIC
SYNDEP0007,2026-06-01 07:22:00.661644787,17612.301562682012,7975.160348211239,1758.0450750644486,275.3007283607689,40.99619615992533,29.202808006259385,303.98887679732763,SYN0007,A3,-18.909456935175687,8.0,8.401167503191004,359.59076654100585,105.49983391257844,DEPARTURE,2026-06-01 07:26:26.661644787,SYNTHETIC
SYNDEP0008,2026-06-01 07:32:34.729997116,21916.587855831443,6175.256158402649,1193.8018795831003,416.9752066554153,41.069645067701074,29.410093300877286,288.9525389015128,SYN0008,A3,-13.049616121900819,9.0,4.337617094650264,9.333442112739888,109.6147439760753,DEPARTURE,2026-06-01 07:33:49.729997116,SYNTHETIC
SYNDEP0009,2026-06-01 07:31:58.456757260,15432.262910294825,9875.635791738398,1268.2239657673204,323.31831174925196,41.01772507041577,29.313886686969084,45.446917163861585,SYN0009,A5,-16.06165243814978,9.0,15.23188985788092,0.11319107187130584,150.08460591978454,DEPARTURE,2026-06-01 07:36:35.456757260,SYNTHETIC
SYNDEP0010,2026-06-01 07:49:57.630015270,25095.287245331903,7162.337242364949,1314.6221545498415,239.45555280957058,40.83821583651742,29.105589087767388,44.80158540540677,SYN0010,A5,-10.002851489371071,10.0,11.369926596804572,126.13215409738127,47.80630662725707,DEPARTURE,2026-06-01 07:51:15.630015270,SYNTHETIC
SYNDEP0011,2026-06-01 07:56:10.640865138,15317.411753910339,5104.961825661469,758.9088553238888,309.5553257215278,41.00982711309669,29.10089408189896,150.02361140185607,SYN0011,A2,-17.749763703153477,9.0,1.0,131.81629240887116,67.91894927362311,DEPARTURE,2026-06-01 08:00:29.640865138,SYNTHETIC
SYNDEP0012,2026-06-01 08:11:33.124907054,16765.58005526805,7165.711121036272,1844.7033976813468,242.89932875551298,40.94529467660564,29.30426425269596,313.23434026095794,SYN0012,A5,-17.194757945855105,9.0,7.375443012595216,318.18140499550736,96.31733395338782,DEPARTURE,2026-06-01 08:13:48.124907054,SYNTHETIC
SYNDEP0013,2026-06-01 08:12:39.491225512,14806.666258179375,8677.579508949657,1976.6374456730266,212.30962402265712,41.075639397894705,29.22198220549968,317.5505996743808,SYN0013,A4,-15.578937054442726,8.0,9.336823812147571,328.5297171710287,67.42747048955033,DEPARTURE,2026-06-01 08:17:29.491225512,SYNTHETIC
